Ano;Mês;Código do Regulado - ANP;Agente Regulado;Região da Coleta;UF da Coleta;Volume Coletado(L)
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;CO;GO;10069
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;CO;MT;22000
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;N ;AM;45000
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;NE;BA;56880
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;S ;PR;95546
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;S ;SC;168795
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;MG;104440
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;RJ;45000
2015;10;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;SP;548327
2015;10;3002581865;WJ LUBRIFICANTES LTDA - EPP;CO;MS;39759
2015;10;3002581865;WJ LUBRIFICANTES LTDA - EPP;S ;PR;118839
2015;10;3002581865;WJ LUBRIFICANTES LTDA - EPP;SE;MG;4156
2015;10;3002581865;WJ LUBRIFICANTES LTDA - EPP;SE;SP;384051
2015;10;3005276147;RS LUBRIFICANTES EIRELI - ME;S ;RS;80660
2015;10;3005276147;RS LUBRIFICANTES EIRELI - ME;SE;MG;130850
2015;10;3005276147;RS LUBRIFICANTES EIRELI - ME;SE;SP;987860
2015;10;3006294505;NORTLUB RECICLAGEM DE ÓLEOS MINERAIS LTDA;N ;AM;144853
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;CO;MT;1300
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;NE;BA;400
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;S ;RS;1440
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;S ;SC;29640
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;SE;ES;400
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;SE;MG;1500
2015;10;3007769414;ECOLUC LUBRIFICANTES LTDA.;SE;SP;428941
2015;10;3008310300;T.R.O. TRATAMENTO E RECICLAGEM DE OLEOS, INDUSTRIA E COMERCIO LTDA;SE;SP;62478
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;GO;169493
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;MS;12800
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;MT;136194
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;N ;PA;317030
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;N ;TO;16050
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;AL;3600
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;BA;210006
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;CE;42001
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;MA;81680
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;PB;3173
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;PE;14930
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;PI;2350
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;SE;129505
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;ES;220696
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;MG;1081839
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;RJ;846540
2015;10;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;SP;38200
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;CO;GO;19034
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;CO;MS;2200
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;CO;MT;27546
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;AL;20500
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;BA;80850
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;PB;49621
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;PE;300
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;PR;361512
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;RS;223331
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;SC;404129
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;ES;39674
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;MG;310353
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;RJ;366496
2015;10;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;SP;1319675
2015;10;3028726412;TASA LUBRIFICANTES LTDA;CO;DF;227550
2015;10;3028726412;TASA LUBRIFICANTES LTDA;CO;GO;52390
2015;10;3028726412;TASA LUBRIFICANTES LTDA;NE;BA;29129
2015;10;3028726412;TASA LUBRIFICANTES LTDA;NE;PI;1700
2015;10;3028726412;TASA LUBRIFICANTES LTDA;S ;RS;200
2015;10;3028726412;TASA LUBRIFICANTES LTDA;SE;ES;68300
2015;10;3028726412;TASA LUBRIFICANTES LTDA;SE;MG;483159
2015;10;3028726412;TASA LUBRIFICANTES LTDA;SE;RJ;924393
2015;10;3028726412;TASA LUBRIFICANTES LTDA;SE;SP;1238947
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;DF;122950
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;GO;376950
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;MS;586301
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;MT;577933
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;AC;26055
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;AP;35350
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;PA;612372
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;RO;144023
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;TO;65870
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;AL;75310
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;BA;673893
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;CE;199211
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;MA;168740
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PB;103330
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PE;338357
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PI;72420
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;RN;103370
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;SE;72710
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;PR;1269560
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;RS;653985
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;SC;563853
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;ES;287692
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;MG;1080850
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;RJ;1531325
2015;10;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;SP;4065527
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;CO;DF;5030
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;CO;GO;9920
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;N ;TO;11800
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;AL;241076
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;BA;294880
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;CE;77360
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;MA;56520
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;PB;95245
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;PE;303989
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;PI;37300
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;RN;117700
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;SE;57810
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;S ;PR;205852
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;S ;SC;4600
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;SE;ES;111109
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;SE;MG;274920
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;SE;RJ;20930
2015;10;3049396591;LUBRASIL LUBRIFICANTES LTDA.;SE;SP;784615
2015;10;3050045897;BRAZÃO LUBRIFICANTES LTDA;SE;MG;45000
2015;10;3050045897;BRAZÃO LUBRIFICANTES LTDA;SE;SP;361518
2015;10;3052554300;PROLUB RERREFINO DE LUBRIFICANTES LTDA.;CO;MS;24200
2015;10;3052554300;PROLUB RERREFINO DE LUBRIFICANTES LTDA.;S ;PR;51490
2015;10;3052554300;PROLUB RERREFINO DE LUBRIFICANTES LTDA.;SE;MG;18260
2015;10;3052554300;PROLUB RERREFINO DE LUBRIFICANTES LTDA.;SE;SP;1319935
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;CO;DF;103900
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;CO;GO;498100
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;CO;MS;111600
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;N ;AM;75600
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;N ;AP;5400
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;N ;PA;301200
2015;10;3059723874;LUBRIFICANTES FENIX LTDA;N ;RR;6100
